truth_id	recovered	assigned_sequence_index	threshold	criterion
f001	1	33	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f002	1	22	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f003	1	29	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f004	1	97	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f005	1	128	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f006	1	115	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f007	1	94	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f008	1	75	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f009	1	80	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f010	1	125	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f011	1	130	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f012	1	127	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f013	1	32	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f014	1	52	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f015	1	111	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f016	1	123	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f017	1	131	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f018	1	124	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f019	1	47	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f020	1	1	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f021	1	89	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f022	1	68	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f023	1	72	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f024	1	126	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f025	1	26	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f026	1	95	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f027	1	114	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f028	1	83	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f029	1	110	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f030	1	105	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f031	1	39	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f032	1	14	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f033	1	44	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f034	1	45	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f035	1	107	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f036	1	91	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f037	1	17	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f038	1	8	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f039	1	63	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f040	1	54	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f041	1	69	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f042	1	119	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f043	1	19	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f044	1	13	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f045	1	49	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f046	1	65	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f047	1	82	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f048	1	36	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f049	1	7	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f050	1	85	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f051	1	78	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f052	1	60	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f053	1	98	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
f054	1	81	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
megabase_171	1	64	0.9	exact_cyclic_levenshtein_threshold_no_below_threshold_score
