sequence_id	start	end	family_id	confidence	warning
L0004_old	0	679	TXF000002	medium	iid_base_identity_proxy_from_exact_kmers;independence_assumption_uncalibrated;monomer_length_gap_bridge;shared_family_kmers_excluded
L0004_newer	0	679	TXF000002	medium	iid_base_identity_proxy_from_exact_kmers;independence_assumption_uncalibrated;monomer_length_gap_bridge;shared_family_kmers_excluded
L0004_candidate	0	644	TXF000002	medium	iid_base_identity_proxy_from_exact_kmers;independence_assumption_uncalibrated;monomer_length_gap_bridge;shared_family_kmers_excluded
