anchor_id	locus_id	family_id	chromosome	start	end	side	offset	sequence_length	eligible	qualifying_hits	uniqueness	reason
L0001_left_0	L0001	TXF000002	Chr1	12131495	12133495	left	0	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0001_left_2000	L0001	TXF000002	Chr1	12129495	12131495	left	2000	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0001_left_5000	L0001	TXF000002	Chr1	12126495	12128495	left	5000	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0001_left_10000	L0001	TXF000002	Chr1	12121495	12123495	left	10000	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0001_right_0	L0001	TXF000002	Chr1	12133789	12135789	right	0	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0001_right_2000	L0001	TXF000002	Chr1	12135789	12137789	right	2000	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0001_right_5000	L0001	TXF000002	Chr1	12138789	12140789	right	5000	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0001_right_10000	L0001	TXF000002	Chr1	12143789	12145789	right	10000	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0002_left_0	L0002	TXF000002	Chr1	12325314	12327314	left	0	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0002_left_2000	L0002	TXF000002	Chr1	12323314	12325314	left	2000	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0002_left_5000	L0002	TXF000002	Chr1	12320314	12322314	left	5000	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0002_left_10000	L0002	TXF000002	Chr1	12315314	12317314	left	10000	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0002_right_0	L0002	TXF000002	Chr1	12327613	12329613	right	0	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0002_right_2000	L0002	TXF000002	Chr1	12329613	12331613	right	2000	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
L0002_right_5000	L0002	TXF000002	Chr1	12332613	12334613	right	5000	2000	True	1	unique_in_old_assembly	assembly_relative_mapping_uniqueness_not_copy_truth
