contig	reference_length_bp	compartment	primary_aligned_target_bases	primary_reference_union_bp	primary_aligned_base_depth	mapq20_aligned_target_bases	mapq20_reference_union_bp	mapq20_aligned_base_depth
CP132235.1	43929697	other_reference	1561478	1535315	0.03554492989104842	1561478	1535315	0.03554492989104842
CP132236.1	36447916	other_reference	1172227	1156390	0.03216170164571275	1172227	1156390	0.03216170164571275
CP132237.1	37399924	other_reference	1155611	1148684	0.030898752628481276	1155611	1148684	0.030898752628481276
CP132238.1	36078568	other_reference	1245168	1209503	0.03451267799764115	1197154	1188671	0.03318186021130329
CP132239.1	30400764	other_reference	922146	902240	0.030332987684125307	922146	902240	0.030332987684125307
CP132240.1	32122276	other_reference	840468	805783	0.026164646614704388	840468	805783	0.026164646614704388
CP132241.1	29936421	other_reference	561719	561719	0.01876373264526177	561719	561719	0.01876373264526177
CP132242.1	28605474	other_reference	820334	809987	0.028677518156140325	820334	809987	0.028677518156140325
CP132243.1	27474823	other_reference	759432	748209	0.027641015194165217	682485	671262	0.024840378407533326
CP132244.1	23931887	other_reference	821677	768666	0.03433398294083538	750118	733644	0.031343871881059776
CP132245.1	31111469	other_reference	701837	682341	0.02255878692195473	685721	666225	0.02204077859518623
CP132246.1	28271460	other_reference	833903	798962	0.029496283531165353	802218	767277	0.028375541977669352
