read_id	candidate_id	cluster_id	family_id	representative_sha256	edit_distance_upper_bound	similarity_lower_bound	minimum_cluster_identity	compatible_cluster_count	alternative_cluster_ids	status	warning
SRR13557763.100	TXC000001	TXG013644	NA	b8c4bad5e1c562c1e062353e31010af1554186057b6358a43a2a2852b9feb293	1	0.9952153110047847	0.95	1		below_minimum_support	
SRR13557763.111	TXC000002	TXG016876	NA	ab5beee8cda25af58789396e0ae913280ef89081f0cd13d6cb353d521183c61f	0	1.0	0.95	1		below_minimum_support	
SRR13557763.111	TXC000003	TXG033771	NA	388b81fbf78191cf81b6878d02e31a5b0f5fdefd33d577aa9da752372239503a	0	1.0	0.95	1		below_minimum_support	
SRR13557763.133	TXC000004	TXG000010	TXF000020	e9110f1e148b25d6b5f3aed32e386099b6f226e7347e2c8881230b756946ac88	0	1.0	0.95	1		assigned	
SRR13557763.231	TXC000005	TXG030595	NA	04e866277a6fecb776f017d1fdd0f303e9521636b5a1f33bce6370bca24c8632	0	1.0	0.95	1		below_minimum_support	
SRR13557763.332	TXC000006	TXG010130	NA	562b853987f2164dd275d0450b9e3982aa869f4b0870837e7f41778db6db0b33	0	1.0	0.95	1		below_minimum_support	
SRR13557763.360	TXC000007	TXG009035	NA	229d6df4a4d435744f5ed6ac17874517dcc92ac93e7b82b33b312d80370a97f1	0	1.0	0.95	1		below_minimum_support	
SRR13557763.360	TXC000008	TXG037190	NA	b3cabe7c139631801ffd272503729cefdaeb0bb2a4dbac5a9b92919c37a6f649	0	1.0	0.95	1		below_minimum_support	
SRR13557763.375	TXC000009	TXG020116	NA	80838c729853fa2c07e5c39d0129a3fab8a214d9d2332811c1e70001f49f6ea3	0	1.0	0.95	1		below_minimum_support	
SRR13557763.492	TXC000010	TXG004401	NA	f0699f5cdec48fcfc047b1d2fa02370a9b2c6e5691c6c907875e7fced530b9f2	0	1.0	0.95	1		below_minimum_support	
SRR13557763.492	TXC000011	TXG001132	TXF000214	461c16096337bf738b506ff1897eeefd557ca98e7acca6b88aa4704c48b1ff1e	1	0.9818181818181818	0.95	2	TXG000128	assigned	multiple_compatible_clusters
SRR13557763.492	TXC000012	TXG015297	NA	e6a1435511e70eff44745a3bbe889b97acb264baabf69200ef5b0fa2a3d19618	2	0.9574468085106383	0.95	1		below_minimum_support	
SRR13557763.502	TXC000013	TXG012141	NA	b5632608009d5d2d76db8d66a9659bf092fb030ad0b32d1e088061ec62fe74f4	0	1.0	0.95	1		below_minimum_support	
SRR13557763.502	TXC000014	TXG035624	NA	e1fdcf5d6dc1d0d599e944c0918e49fe80745d69b15c1f5caf0b0b1b9ea240fc	0	1.0	0.95	1		below_minimum_support	
SRR13557763.502	TXC000015	TXG015666	NA	93828d23c5fef853c15ffcafc1d4ebd22b1d1689ab90d17778bafb608a7cd390	4	0.9754601226993865	0.95	1		below_minimum_support	
SRR13557763.502	TXC000016	TXG029860	NA	a45188b7de100a4e76552d615c13935fadbdde780d902ecee8c783ab0c493cf6	0	1.0	0.95	1		below_minimum_support	
SRR13557763.502	TXC000017	TXG012897	NA	ff09c6056eddf617aed4f0e482998d24a821970fe964d1b5d13030981c6b5678	0	1.0	0.95	1		below_minimum_support	
SRR13557763.502	TXC000018	TXG015350	NA	13702c51dfb9630e6f304bcfd67e4b1d2f0daaecbdca70591ac72d3377ae19dc	0	1.0	0.95	1		below_minimum_support	
SRR13557763.502	TXC000019	TXG000045	TXF000011	456d17f289ed77b888d7602b6be721d1673cfabaa04337957bf533eb8087efd4	2	0.9545454545454546	0.95	2	TXG006992	assigned	multiple_compatible_clusters
SRR13557763.511	TXC000020	TXG013325	NA	522e3a5e6358c2e10523238d1568b340b329302e2f9b9f1e45c1dc46fbe312df	2	0.9583333333333334	0.95	1		below_minimum_support	
SRR13557763.511	TXC000021	TXG002305	NA	1bb2764055e23cb588270e40b9f7e76d84321e27bfe5ccb39560cf621a0242a5	0	1.0	0.95	1		below_minimum_support	
SRR13557763.511	TXC000022	TXG008669	NA	efeea926338417a67a1b999fd818161cad2aee88d04f698a97a8a473d3331751	0	1.0	0.95	1		below_minimum_support	
SRR13557763.511	TXC000023	TXG000572	TXF000344	0eaf00242a4dac5138b1555c9f4baa05fd49dd242fe98e2eae54d124c85fc5b1	3	0.9552238805970149	0.95	1		assigned	
SRR13557763.511	TXC000024	TXG026063	NA	4fe041827c956fdd5a92727165cc2ef64e7c3dfbf7a25b7fe32209e6ee35d20e	0	1.0	0.95	1		below_minimum_support	
SRR13557763.511	TXC000025	TXG023844	NA	a936408c6364f28be22c95ce1a1b69295853584b22d5a3e9a4131de74b2ecbd3	0	1.0	0.95	1		below_minimum_support	
SRR13557763.620	TXC000026	TXG039466	NA	4e8300b277a36857220237cfdefb2bc21d8df587ba33587b238a104ac94dfbc1	0	1.0	0.95	1		below_minimum_support	
SRR13557763.620	TXC000027	TXG034592	NA	6be87e85a2e018381ef4d9388b5024910b8c33d5e860e1b098ab7617036c11b5	0	1.0	0.95	1		below_minimum_support	
SRR13557763.620	TXC000028	TXG000201	TXF000033	80e46d4a8e9fe585e9d299345e1f3367989b9db898b0d6a331a8569f523ad908	2	0.9661016949152542	0.95	1		assigned	
SRR13557763.620	TXC000029	TXG006042	NA	de964f9da1eefa6df189e0caaaa71e160400f66b6a02767b36ad6f821a519dad	0	1.0	0.95	1		below_minimum_support	
SRR13557763.622	TXC000030	TXG028847	NA	d91cd2d156aa2e2e3c936d61f91c6aadbe56723e85d22ce8a527bec3e7d0ff37	0	1.0	0.95	1		below_minimum_support	
SRR13557763.622	TXC000031	TXG000147	TXF000061	6db66d1712eaea5c45276d213ed111f7f985b69e96f957d92d9625231d86c2c1	1	0.9830508474576272	0.95	1		assigned	
SRR13557763.622	TXC000032	TXG005097	NA	3b0aaf20c130c9931c8942f814e802f3ac811ef7c456bca850ea81f97e3d4fa7	0	1.0	0.95	1		below_minimum_support	
SRR13557763.623	TXC000033	TXG000479	NA	5fc78988ef0f294d562fe2f1e6728eb97f432ea76d2db324e7c84eb3109a2aeb	0	1.0	0.95	1		below_minimum_support	
SRR13557763.634	TXC000034	TXG002430	NA	74f901e417bc035b42867bc8a360fdaf954116548f1dd679534f96c40318c655	7	0.988599348534202	0.95	1		below_minimum_support	
SRR13557763.639	TXC000035	TXG000055	TXF000047	957fa4c75de13f4d4e4c909bdc0af72da723dc1508722bd246bb93017af3c55e	1	0.9929078014184397	0.95	1		assigned	
SRR13557763.639	TXC000036	TXG000102	TXF000301	92bf7d4c409de31fbe19b3881637b5309867ab25fb291076c3bed5a652e4180d	0	1.0	0.95	1		assigned	
SRR13557763.639	TXC000037	TXG001637	TXF001111	c374c7b34615fddc52262b9024d4920e9139966571f9a65958c0e4fd89a19d11	0	1.0	0.95	1		assigned	
SRR13557763.639	TXC000038	TXG002119	NA	e100a27f248fc4b2d975c5164f322b8638d1d1e6b25e8a49457c4b7574a4d5a8	0	1.0	0.95	1		below_minimum_support	
SRR13557763.643	TXC000039	TXG031786	NA	7e8c588111ce3490b7741a1924ecbeb015a7c59d718bcec30ff68c7a0efb26a6	0	1.0	0.95	1		below_minimum_support	
SRR13557763.647	TXC000040	TXG008351	NA	1dfa0643570f0d427ac303903643a2fabe7d861b4238d4306f85f468404d3fce	0	1.0	0.95	1		below_minimum_support	
SRR13557763.652	TXC000041	TXG000177	TXF000086	22e5ad8e450dfd3f8c866f59f2f093c8153d6839d124a3b5a7ca0c803cf5d8f8	2	0.9583333333333334	0.95	1		assigned	
SRR13557763.652	TXC000042	TXG002132	NA	87a2189129c3e8ab605030a025820e82ecc49b4fb532f9ffeaca24aec0f0af21	0	1.0	0.95	1		below_minimum_support	
SRR13557763.680	TXC000043	TXG001666	NA	b7d3cea9099b911346b3addc4562441368f2cf51ed307d8355b859e3251a32d8	0	1.0	0.95	1		below_minimum_support	
SRR13557763.680	TXC000044	TXG000328	TXF000095	d636fed4c9b350cc47e4a0883b8842db013ac9a835226cbe4b803a4c770d8a3a	0	1.0	0.95	1		assigned	
SRR13557763.706	TXC000045	TXG027772	NA	36739b54d5ca0ce3f94c2187530676fcc1ff698ee48e458d4d9128d2422684c9	0	1.0	0.95	1		below_minimum_support	
SRR13557763.744	TXC000046	TXG005260	TXF000785	d77ba4bd42a0408ae1842986494ccbc1da52d91976b5369e8995e5ed3426b32f	0	1.0	0.95	1		assigned	
SRR13557763.744	TXC000047	TXG028655	NA	c0c2e06d2bc66eaa99878e7e2a9599d60df6215dbd43accbc3ffdfb54d406179	0	1.0	0.95	1		below_minimum_support	
SRR13557763.771	TXC000048	TXG010118	NA	f94cb99ea882eff59d283ddb908f00f78cd3f6f9c12a6f7ebc7d57b303e363c9	0	1.0	0.95	1		below_minimum_support	
SRR13557763.777	TXC000049	TXG013038	NA	f4c6a47c625aa370800916975e9fd402880798683170a3caa5f881e22bf1a8a1	0	1.0	0.95	1		below_minimum_support	
SRR13557763.794	TXC000050	TXG000206	TXF000071	5c1af87da9c81b1f45f2a6b2bc587455e554b20340d19b38817e4afb10a31e34	1	0.9818181818181818	0.95	2	TXG000128	assigned	multiple_compatible_clusters
SRR13557763.803	TXC000051	TXG000001	TXF000001	f26bfaec88ba0e57439afd74e06a179cec19b9c1cc04e84031248a95f44d144c	0	1.0	0.95	1		assigned	
SRR13557763.806	TXC000052	TXG007904	NA	acfa9b64252b17d7360748137724e1b06817a14c63044b447ba152d228ca9901	2	0.9615384615384616	0.95	1		below_minimum_support	
SRR13557763.822	TXC000053	TXG015388	NA	f3c007ddc377b19cb2485be1b8aa987ca2ed3c040361338384144ebf4f6d46b0	0	1.0	0.95	1		below_minimum_support	
SRR13557763.895	TXC000054	TXG025331	NA	f1f3652e09f076a989c3b38186cde9ff376965b9e199a3734de38a5f560b788e	4	0.9512195121951219	0.95	1		below_minimum_support	
SRR13557763.953	TXC000055	TXG007321	NA	7f76323514054a271c6394a5b236082924067c1bbc7792a00d2d55de63ec3b02	0	1.0	0.95	1		below_minimum_support	
SRR13557763.984	TXC000056	TXG006880	NA	4047799da7f007378d21748e46da1cb899513aa417b28eab1df158f765d5565f	0	1.0	0.95	1		below_minimum_support	
SRR13557763.984	TXC000057	TXG039413	NA	01c2de610caca6944e3586a4c346382625f9a9364004fa8a52f008663f88742e	0	1.0	0.95	1		below_minimum_support	
SRR13557763.1028	TXC000058	TXG000007	TXF000007	2ea99e39a67fac14bc8e4e609e3be6ba2d6dd42da4da638ac6454ad13fdd15c3	1	0.9827586206896551	0.95	1		assigned	
SRR13557763.1028	TXC000059	TXG011456	NA	19c7c0f5954fa7e6282b39f6f6271066ba97881f8c283390c228ee5214c281d5	0	1.0	0.95	1		below_minimum_support	
SRR13557763.1028	TXC000060	TXG027809	NA	983edb9cf575f2eb2274fc9389393b9e19e76f4f65aedca8955f6b11446304c4	0	1.0	0.95	1		below_minimum_support	
SRR13557763.1059	TXC000061	TXG028643	NA	97ff0f690bc00b0d0ba2e960fd326b5169c1786cb48e764240ee88cd7c7e1e4e	0	1.0	0.95	1		below_minimum_support	
SRR13557763.1093	TXC000062	TXG017699	NA	74d7545ba19ad12f4fde424536105185541ccc81a02bb4901ca508c934aef0d4	1	0.9928057553956835	0.95	1		below_minimum_support	
SRR13557763.1117	TXC000063	TXG001373	NA	c618e6844d15b8813b5708a6a79f57a16181678c6d11341cb9efcabd8b270614	0	1.0	0.95	1		below_minimum_support	
SRR13557763.1117	TXC000064	TXG001717	NA	06397dbef93daaf668a9a9d528096cedbf42e7d4439186a5c12da6d734d500fc	0	1.0	0.95	1		below_minimum_support	
SRR13557763.1127	TXC000065	TXG007924	NA	ed61ff9274ac0f2e378addc0a6bd7e05e22be0d30973c14d838f8f7f26e432bc	0	1.0	0.95	1		below_minimum_support	
SRR13557763.1127	TXC000066	TXG014288	NA	a47e6b01aa3bd813aed156b20cf48b0b80ad1a880e87e75f5d135a5eb7853af9	0	1.0	0.95	1		below_minimum_support	
SRR13557763.1178	TXC000067	TXG003456	NA	09c59dcf5870304a7e81c4c4e5229905ac136a90874138c2eb0006fb422ed853	0	1.0	0.95	1		below_minimum_support	
SRR13557763.1222	TXC000068	TXG001699	TXF000790	9aee08fb00b062d7a26a7b7ceb8ff9975d6be9cff0e1566eeac3949cecf0d9ab	0	1.0	0.95	1		assigned	
SRR13557763.1222	TXC000069	TXG010017	NA	94914e52d20b44297466d3a52bdbd4bc5b8e860826fa1bf4633d0e8b3e94e28b	0	1.0	0.95	1		below_minimum_support	
SRR13557763.1225	TXC000070	TXG020416	NA	1437a26db3a0973ab0cf53d5bc48b0126c969c6a70c13415f9d57aec01b539e8	0	1.0	0.95	1		below_minimum_support	
SRR13557763.1264	TXC000071	TXG033318	NA	076b0067448fb345ee3bfea43000d0336e99d9f3e39ed1e6d4e2694cf1a638e5	0	1.0	0.95	1		below_minimum_support	
SRR13557763.1264	TXC000072	TXG000652	TXF000167	34f74d945ba542a4e7ac8db57738ac59ddb94634d7833af5fd2dd9d35d7f708e	0	1.0	0.95	1		assigned	
SRR13557763.1295	TXC000073	TXG000545	TXF000119	181995715337d2bec7219792095351a05a0b5b6c9946e866b5f78b43d205fe44	2	0.9545454545454546	0.95	3	TXG001015;TXG006992	assigned	multiple_compatible_clusters
SRR13557763.1295	TXC000074	TXG013354	NA	6448b15d96a410a9e56bb389e269439ef6757d35eb5d15dc6383f22b2e5f5f52	0	1.0	0.95	1		below_minimum_support	
