material	species	role	assembly_accession	assembly_biosample	assembly_span_bp	assembly_evidence_label	assembly_url	assembly_bytes	assembly_md5	hifi_accession	hifi_biosample	hifi_format	hifi_base_count	hifi_read_count	hifi_url	hifi_bytes	hifi_md5	known_source_plus_assembly_bytes	local_or_gate_state	next_action
V14167	Arachis duranensis	primary_T2T_peanut	GCA_054824555.1	SAMN48356820	1177730076	paper_T2T_NCBI_complete_no_gaps	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/824/555/GCA_054824555.1_ASM5482455v1/GCA_054824555.1_ASM5482455v1_genomic.fna.gz	339638203	546093beba44a0517d3cbfc4bafd819d	SRR33996330	SAMN49012632	FASTQ.gz	211519944561	12170774	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/030/SRR33996330/SRR33996330_subreads.fastq.gz	161392348415	637ea54192dd85728c13037d8df97de3	161731986618	formal_30x_input_hash_valid_TideHunter_3_of_3_valid_overall_three_tool_unresolved	no_new_source_transfer
K30076	Arachis ipaensis	primary_T2T_peanut	GCA_059453495.1	SAMN48356821	1485213272	paper_T2T_NCBI_complete_no_gaps	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/059/453/495/GCA_059453495.1_ASM5945349v1/GCA_059453495.1_ASM5945349v1_genomic.fna.gz	441932372	62c4ae112b6b02704097276c43a2101c	SRR33996329	SAMN49012633	FASTQ.gz	175310736142	9975312	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/029/SRR33996329/SRR33996329_subreads.fastq.gz	131425465985	0d65a57466e91c050607b7d31926b3b9	131867398357	block2_attempt001_active_1_of_34_chunks_valid_block3_not_started	do_not_compete_wait_for_block2_3_safe_boundary
S245	Arachis hypogaea	primary_T2T_peanut	GCA_054824585.1	SAMN48356822	2595735092	paper_T2T_NCBI_complete_no_gaps	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/824/585/GCA_054824585.1_ASM5482458v1/GCA_054824585.1_ASM5482458v1_genomic.fna.gz	764900370	f4b13a149936fbc3cf24b4564f0daeca	SRR33996311	SAMN49012634	FASTQ.gz	316440933112	20361088	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/011/SRR33996311/SRR33996311_subreads.fastq.gz	247159643248	49cc2acdd3b52171921173ff4b29b597	247924543618	planned_not_started	retain_manifest_no_payload
HN873	Arachis hypogaea	primary_T2T_peanut	GCA_054824565.1	SAMN48356823	2622657666	paper_T2T_NCBI_complete_no_gaps	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/824/565/GCA_054824565.1_ASM5482456v1/GCA_054824565.1_ASM5482456v1_genomic.fna.gz	771250506	54a24549f9865c30cd9b32f0b43237e2	SRR33996436	SAMN49012635	FASTQ.gz	282990963629	18208237	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/036/SRR33996436/SRR33996436_subreads.fastq.gz	138051275607	0d34f9ac1a55fd13703ca42f196c688a	138822526113	planned_not_started	retain_manifest_no_payload
HN51	Arachis hypogaea	primary_T2T_peanut	GCA_054824525.1	SAMN48356824	2624823768	paper_T2T_NCBI_complete_no_gaps	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/824/525/GCA_054824525.1_ASM5482452v1/GCA_054824525.1_ASM5482452v1_genomic.fna.gz	772559215	53fa765451274a288a3005d5c7195900	SRR33996516	SAMN49012636	FASTQ.gz	309594269400	20731411	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/016/SRR33996516/SRR33996516_subreads.fastq.gz	150771924692	020f6df6f79e4fd14cfe15e6a77a2370	151544483907	planned_not_started	retain_manifest_no_payload
S83	Arachis hypogaea	primary_T2T_peanut	GCA_054824515.1	SAMN48356825	2619655861	paper_T2T_NCBI_complete_no_gaps	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/824/515/GCA_054824515.1_ASM5482451v1/GCA_054824515.1_ASM5482451v1_genomic.fna.gz	768742128	a565297d565078f9ceccd7b300b1f7a2	SRR33996477	SAMN49012637	FASTQ.gz	316599939392	20673891	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR339/077/SRR33996477/SRR33996477_subreads.fastq.gz	235575643545	0269b373a27adfaaedd10c587364e387	236344385673	planned_not_started_zero_payload_DNBSEQ_excluded	retain_manifest_no_payload
YSD56	Glycine soja	complete_local_small_genome_control	GCA_040083835.1	SAMN40909152	1008523555	paper_T2T_NCBI_complete_genome	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/083/835/GCA_040083835.1_ASM4008383v1/GCA_040083835.1_ASM4008383v1_genomic.fna.gz	302094702	c8b216d1f7ba5cc4af20adfb14dc8bdc	SRR28726931	SAMN40909152	FASTQ.gz	44193089411	2617227	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR287/031/SRR28726931/SRR28726931_subreads.fastq.gz	21866640310	bcec44c711a45dd7dd22784e0da7cccd	22168735012	complete_local_source_and_assembly_checksum_valid	no_download
ZH13	Glycine max	cultivated_soybean_project_level_control	GWHBWDJ00000000.1	SAMC1127443	1007237669	paper_T2T_archive_complete	https://download.cncb.ac.cn/gwh/Plants/Glycine_max_ZH13-T2T_GWHBWDJ00000000.1/GWHBWDJ00000000.1.genome.fasta.gz	286375748	86fe5e3cdd12510afa61c6e3345a4a97	CRR705248;CRR705249	SAMC1127444	BAM	67710780290	4264476	https://download.cncb.ac.cn/gsa2/CRA010060/CRR705248/CRR705248.bam;https://download.cncb.ac.cn/gsa2/CRA010060/CRR705249/CRR705249.bam	46775562505	N/A_repository_checksum_not_published	47061938253	assembly_complete_local_raw_not_started_different_BioSamples_no_BAI	wait_for_K300_then_full_BAM_only_if_reauthorized
A17	Medicago truncatula	complete_T2T_small_genome_candidate	GWHGEXC00000000.1	SAMC5586315	494467734	paper_complete_gap_free_T2T	https://download.cncb.ac.cn/gwh/Plants/Medicago_truncatula_A17_v6.0_GWHGEXC00000000.1/GWHGEXC00000000.1.genome.fasta.gz	129989665	0c958f2d29f053f72243cb319651eb47	CRR1954560	SAMC5545447	BAM	39872065358	2074971	https://download.cncb.ac.cn/gsa4/CRA027262/CRR1954560/CRR1954560.bam	20993038389	N/A_repository_checksum_not_published	21123028054	manifest_ready_no_local_payload_no_BAI	wait_for_K300_then_full_BAM_QC_gate
R108	Medicago littoralis	complete_T2T_small_genome_candidate	GWHGEXD00000000.1	SAMC5586316	415266007	paper_complete_gap_free_T2T	https://download.cncb.ac.cn/gwh/Plants/Medicago_littoralis_R108_v3.0_GWHGEXD00000000.1/GWHGEXD00000000.1.genome.fasta.gz	116010804	0b2498db11abffee1c8de5ca4695cba6	CRR1954568	SAMC5545455	BAM	47021704397	2334551	https://download.cncb.ac.cn/gsa4/CRA027262/CRR1954568/CRR1954568.bam	25092297745	N/A_repository_checksum_not_published	25208308549	manifest_ready_no_local_payload_no_BAI_R108_taxon_reconciliation	wait_for_A17_and_K300_safe_boundary
YP4	Phaseolus vulgaris	partial_T2T_low_friction_control	GCA_051622355.1	SAMN41276676	560297700	T2T_claimed_partial_T2T_evidence_9_of_11	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/051/622/355/GCA_051622355.1_ASM5162235v1/GCA_051622355.1_ASM5162235v1_genomic.fna.gz	167792293	5a81dd28c6677f575b5f94cae9e86b3d	SRR28983565	SAMN41274945	FASTQ.gz	31747954482	2108646	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR289/065/SRR28983565/SRR28983565_subreads.fastq.gz	24590641333	2820bb596e1cf407f614fe13ce0c8dae	24758433626	manifest_ready_no_local_payload_material_level_linkage	wait_for_K300_then_prefer_if_FASTQ_transport_integrity_is_priority
HJD	Vigna unguiculata	complete_T2T_control_metadata_blocked	GWHHKIK00000000.1	N/A	548737088	paper_gap_free_T2T_archive_complete_span_conflicts_with_paper_table	https://download.cncb.ac.cn/gwh/Plants/Vigna_unguiculata_HJD_GWHHKIK00000000.1/GWHHKIK00000000.1.genome.fasta.gz	147717617	8530e91489398bd803f5ac041eb60286	N/A	N/A	N/A	37330000000_estimated_from_paper	N/A	N/A	N/A	N/A	147717617_plus_unresolved_raw	assembly_ready_raw_run_accession_unresolved	resolve_GSA_CRA_CRR_before_any_payload
Wm82	Glycine max	cultivated_soybean_candidate_metadata_blocked	Wm82.a5_Figshare_22688281	N/A	N/A	high_completeness_source_requires_file_inventory	N/A	N/A	N/A	SRR23004521	SAMN32622558	FASTQ.gz	136471999387	8271987	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/021/SRR23004521/SRR23004521_subreads.fastq.gz	77096051581	5c12777a27b2b077387b960cd682bd89	77096051581_plus_unresolved_assembly	assembly_API_HTTP_403_no_matched_BioSample_donor_stock_unresolved	no_payload_until_assembly_files_and_linkage_close
Lee	Glycine max	ineligible_fragmented_soybean_candidate	GCA_042838125.1	SAMN17138319	1012997177	chromosome_level_56437_contigs_40075780_gap_bp	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/838/125/GCA_042838125.1_Glyma.Lee_v2.0/GCA_042838125.1_Glyma.Lee_v2.0_genomic.fna.gz	298694417	70b27eba198043e52c6e87f515ea9afd	SRR23004522	SAMN32622557	FASTQ.gz	163995419007	9021517	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR230/022/SRR23004522/SRR23004522_subreads.fastq.gz	89325036281	e278ea8b496d03b6f58027e41f770e2d	89623730698	different_BioSamples_different_projects_chromosome_level_fragmented	ineligible_for_high_completeness_control
