material	tool	prediction_unit	query_id	query_length	recovered	matched_consensus_length	matched_cyclic_edit_similarity	matched_consensus_sha256	matched_source_occurrence_count	matched_source_examples	supported_distinct_consensus_count	best_supported_cyclic_edit_similarity	best_supported_consensus_length	best_supported_consensus_sha256	best_supported_source_occurrence_count	best_supported_source_examples	threshold	evidence_boundary
Mo17	tandemx	family_catalog	CentC_AF078922_1	156	1	156	0.9871794871794872	b936f3aceeea3c8c64e711d1c2eee40ef10c51f523f141bc36022ccea44b830e	1	family_id=TXF000110;monomer_id=TXM000110;length_bp=156;confidence=high	1	0.9871794871794872	156	b936f3aceeea3c8c64e711d1c2eee40ef10c51f523f141bc36022ccea44b830e	1	family_id=TXF000110;monomer_id=TXM000110;length_bp=156;confidence=high	0.9	CentC_AF078922_Seneca60_not_Mo17_source_query_only_miss_not_false_negative
Mo17	tandemx_candidates	family_catalog	CentC_AF078922_1	156	1	156	0.967948717948718	8b51ee82e7d4067dfe435876e1338344b2f6fa8196a88badd07f33570eedb221	1	candidate_id=TXC008091;read_id=SRR15447419.393692;length_bp=156	6	0.9871794871794872	156	b936f3aceeea3c8c64e711d1c2eee40ef10c51f523f141bc36022ccea44b830e	2	candidate_id=TXC006359;read_id=SRR15447419.311694;length_bp=156|candidate_id=TXC007783;read_id=SRR15447419.378487;length_bp=156	0.9	CentC_AF078922_Seneca60_not_Mo17_source_query_only_miss_not_false_negative
Mo17	tidehunter	array_consensus	CentC_AF078922_1	156	1	157	0.9617834394904459	e6db6e555cdb26cb65e681c1c293935764205b264bf4ded3dc90a5e7747f26dc	1	SRR15447419.393692:0-752	5	0.9871794871794872	156	b936f3aceeea3c8c64e711d1c2eee40ef10c51f523f141bc36022ccea44b830e	4	SRR15447419.175315:0-13982|SRR15447419.251432:0-10538|SRR15447419.311694:0-8670|SRR15447419.378487:0-7989	0.9	CentC_AF078922_Seneca60_not_Mo17_source_query_only_miss_not_false_negative
Mo17	trf	array_consensus	CentC_AF078922_1	156	1	156	0.9871794871794872	b936f3aceeea3c8c64e711d1c2eee40ef10c51f523f141bc36022ccea44b830e	2	SRR15447419.175315:0-13982|SRR15447419.378487:0-7989	6	0.9871794871794872	156	b936f3aceeea3c8c64e711d1c2eee40ef10c51f523f141bc36022ccea44b830e	2	SRR15447419.175315:0-13982|SRR15447419.378487:0-7989	0.9	CentC_AF078922_Seneca60_not_Mo17_source_query_only_miss_not_false_negative
