read_id	length_bp	gc_bin_5pct	max_purine_pyrimidine_bin_5pct	any_alignment_span_bp	primary_span_bp	primary_mapq20_span_bp	primary_organelle_span_bp	primary_other_reference_span_bp	primary_rows	secondary_rows	organelle_primary_rows	primary_compartment_overlap_bp
ERR6210723.100140	15169	7	10	15169	15169	15169	0	15169	1	0	0	0
ERR6210723.100193	14238	7	10	14238	14238	14238	0	14238	1	0	0	0
ERR6210723.100201	16206	6	10	16206	16206	16206	0	16206	1	0	0	0
ERR6210723.100296	17353	6	10	17352	17352	17352	0	17352	1	0	0	0
ERR6210723.100336	18008	8	10	18008	18008	18008	0	18008	1	0	0	0
ERR6210723.100405	14661	7	10	14661	14661	14661	0	14661	1	0	0	0
ERR6210723.100442	15857	6	10	15857	15857	15857	0	15857	1	0	0	0
ERR6210723.100498	15136	6	10	15136	15136	15136	0	15136	1	0	0	0
ERR6210723.100509	15738	7	11	15738	15738	15738	0	15738	1	0	0	0
ERR6210723.100559	15904	6	10	15904	15904	15904	0	15904	1	0	0	0
ERR6210723.100638	16896	7	10	16896	16896	16896	0	16896	1	0	0	0
ERR6210723.100684	14093	7	10	14093	14093	14093	14093	0	1	0	1	0
ERR6210723.100692	12768	7	10	12768	12768	12768	0	12768	1	0	0	0
ERR6210723.100744	17656	7	10	17655	17655	17655	17655	0	1	0	1	0
ERR6210723.100983	15156	7	11	15156	15156	15156	0	15156	1	1	0	0
ERR6210723.101242	17465	8	10	17465	17465	17465	17465	0	1	1	1	0
ERR6210723.101252	15456	7	10	15456	15456	15456	0	15456	1	0	0	0
ERR6210723.101295	15797	6	10	15797	15797	15797	0	15797	1	0	0	0
ERR6210723.101309	16551	7	10	16547	16547	16547	16547	0	1	1	1	0
ERR6210723.101335	18344	7	10	18338	18338	18338	0	18338	1	0	0	0
ERR6210723.101356	15003	7	10	15003	15003	15003	0	15003	1	0	0	0
ERR6210723.101358	17577	6	10	17577	17577	17577	0	17577	1	0	0	0
ERR6210723.101455	14928	7	10	14924	14924	14924	0	14924	1	0	0	0
ERR6210723.101475	15395	6	10	15394	15394	15394	0	15394	1	0	0	0
ERR6210723.101553	14749	7	10	14749	14749	14749	0	14749	1	0	0	0
ERR6210723.101778	16218	6	10	16218	16218	16218	0	16218	1	0	0	0
ERR6210723.102204	14354	7	10	14354	14354	14354	0	14354	1	0	0	0
ERR6210723.102310	15709	6	10	15709	15709	15709	15709	0	1	0	1	0
ERR6210723.102400	19009	8	10	19009	19009	0	19009	0	1	1	1	0
ERR6210723.102737	18648	6	10	18648	18648	18648	0	18648	1	0	0	0
ERR6210723.102798	16685	8	10	16685	16685	16685	16685	0	1	1	1	0
ERR6210723.102872	17752	7	10	17752	17752	17752	17752	0	1	0	1	0
ERR6210723.102887	16883	6	10	16883	16883	16883	0	16883	1	0	0	0
ERR6210723.103027	18321	6	10	18321	18321	18321	0	18321	1	0	0	0
ERR6210723.103047	17502	7	10	17502	17502	17502	17502	0	1	0	1	0
ERR6210723.103187	14154	8	10	14154	14154	14154	14154	0	1	0	1	0
ERR6210723.103200	16269	7	10	16269	16269	16269	0	16269	1	0	0	0
ERR6210723.103265	15747	7	10	15747	15747	15747	0	15747	1	0	0	0
ERR6210723.10345	16079	7	10	16079	16079	16079	0	16079	1	0	0	0
ERR6210723.103916	14482	7	11	14482	14482	14482	0	14482	1	0	0	0
ERR6210723.104181	15090	7	10	15087	15087	15087	0	15087	1	0	0	0
ERR6210723.10422	16391	7	10	16061	16061	16061	0	16061	1	0	0	0
ERR6210723.104295	19683	7	10	19683	19683	19683	0	19683	1	0	0	0
ERR6210723.104303	13900	7	10	13900	13900	13900	0	13900	1	0	0	0
ERR6210723.104359	16647	7	10	16647	16647	16647	0	16647	1	0	0	0
