family_id	monomer_id	monomer_length_bp	consensus_md5	gc_fraction	support_read_count	support_span_bp	mean_identity	low_complexity_flag	confidence	warning
TXF000001	TXM000001	249	e23b41bbf9692c26478cebdaa6100fd4	0.4699	1821	1478989	0.8366	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000001-TXF000008;likely_redundant:TXF000001-TXF000009;possible_higher_order_or_partial:TXF000001-TXF000022;possible_higher_order_or_partial:TXF000001-TXF000128;possible_higher_order_or_partial:TXF000001-TXF000130;possible_higher_order_or_partial:TXF000001-TXF000143;possible_higher_order_or_partial:TXF000001-TXF000324;possible_higher_order_or_partial:TXF000001-TXF000367;likely_redundant:TXF000001-TXF000707
TXF000002	TXM000002	51	fd37f6839954778fac08dc612b707128	0.6471	466	482340	0.9048	false	high	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000002-TXF000063;possible_higher_order_or_partial:TXF000002-TXF000074;possible_higher_order_or_partial:TXF000002-TXF000076;possible_higher_order_or_partial:TXF000002-TXF000147;possible_higher_order_or_partial:TXF000002-TXF000242;possible_higher_order_or_partial:TXF000002-TXF000280;possible_higher_order_or_partial:TXF000002-TXF000360;possible_higher_order_or_partial:TXF000002-TXF000398;possible_higher_order_or_partial:TXF000002-TXF000400;possible_higher_order_or_partial:TXF000002-TXF000439;possible_higher_order_or_partial:TXF000002-TXF000566;possible_higher_order_or_partial:TXF000002-TXF000679;possible_higher_order_or_partial:TXF000002-TXF000868;possible_higher_order_or_partial:TXF000002-TXF001123
TXF000003	TXM000003	43	f19605c9a14509e1ac8b7ab389d6f82b	0.4419	367	46550	0.8737	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000003-TXF000207;possible_higher_order_or_partial:TXF000003-TXF001184
TXF000004	TXM000004	30	980fc223d75409f80ef10918475bd2a5	0.4000	341	39012	0.8056	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95
TXF000005	TXM000005	31	ccd167423960f13f488e2ffdac94a72f	0.2903	339	39617	0.8410	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000005-TXF000226;possible_higher_order_or_partial:TXF000005-TXF000429;possible_higher_order_or_partial:TXF000005-TXF001072
TXF000006	TXM000006	41	79b71c731867dc5801e3e7a0020f45e7	0.6098	319	101793	0.8226	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000006-TXF000335;likely_redundant:TXF000006-TXF000466;possible_higher_order_or_partial:TXF000006-TXF000931
TXF000007	TXM000007	58	c4b5a1af88a7c93747bd0b865c2e1f0f	0.7241	292	143179	0.8347	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000007-TXF000059;likely_redundant:TXF000007-TXF000083;possible_higher_order_or_partial:TXF000007-TXF000186;possible_higher_order_or_partial:TXF000007-TXF000508;possible_higher_order_or_partial:TXF000007-TXF000705;possible_higher_order_or_partial:TXF000007-TXF000738;possible_higher_order_or_partial:TXF000007-TXF000743
TXF000008	TXM000008	234	4fed53501e04f5c8815048b0421b75d0	0.4658	284	209865	0.8445	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000001-TXF000008;possible_higher_order_or_partial:TXF000008-TXF000009;possible_higher_order_or_partial:TXF000008-TXF000022;likely_redundant:TXF000008-TXF000128;possible_higher_order_or_partial:TXF000008-TXF000143;possible_higher_order_or_partial:TXF000008-TXF000367;possible_higher_order_or_partial:TXF000008-TXF000694;possible_higher_order_or_partial:TXF000008-TXF000707;possible_higher_order_or_partial:TXF000008-TXF000896
TXF000009	TXM000009	240	b7450884dab55539b6ef3dda8aa47fe2	0.4792	274	201431	0.8414	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;likely_redundant:TXF000001-TXF000009;possible_higher_order_or_partial:TXF000008-TXF000009;possible_higher_order_or_partial:TXF000009-TXF000022;possible_higher_order_or_partial:TXF000009-TXF000128;possible_higher_order_or_partial:TXF000009-TXF000130;possible_higher_order_or_partial:TXF000009-TXF000143;possible_higher_order_or_partial:TXF000009-TXF000367;possible_higher_order_or_partial:TXF000009-TXF000707
TXF000010	TXM000010	32	687f3fb7166b4ebeee0e38b4840fce1a	0.0000	242	27618	0.9174	true	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;low_complexity_family;likely_redundant:TXF000010-TXF000017;possible_higher_order_or_partial:TXF000010-TXF000039;possible_higher_order_or_partial:TXF000010-TXF000049;possible_higher_order_or_partial:TXF000010-TXF000082;likely_redundant:TXF000010-TXF000350;likely_redundant:TXF000010-TXF000352;possible_higher_order_or_partial:TXF000010-TXF000397;possible_higher_order_or_partial:TXF000010-TXF000426;likely_redundant:TXF000010-TXF000430;possible_higher_order_or_partial:TXF000010-TXF000686;possible_higher_order_or_partial:TXF000010-TXF001132
TXF000011	TXM000011	44	b6472e990e4a03b4a0796fb7050fc888	0.5000	224	34301	0.8155	false	medium	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95;possible_higher_order_or_partial:TXF000011-TXF000066;possible_higher_order_or_partial:TXF000011-TXF000809;possible_higher_order_or_partial:TXF000011-TXF001086
TXF000012	TXM000012	177	cac263b0e69ddd01ac8102dd07d330fb	0.2599	180	66958	0.9714	false	high	operational_monomer_cluster;observed_consensus_representative;uncalibrated_confidence;cluster_identity=0.95
