read_id	length_bp	truth_positive	strand	negative_kind
r0000001	5000	0	+	random
r0000002	5000	0	-	random
r0000003	5000	1	-	NA
r0000004	5000	0	+	random
r0000005	5000	1	-	NA
r0000006	5000	1	-	NA
r0000007	5000	1	-	NA
r0000008	5000	0	-	random
r0000009	5000	0	+	random
r0000010	5000	1	-	NA
r0000011	5000	1	+	NA
r0000012	5000	1	+	NA
r0000013	5000	0	+	random
r0000014	5000	0	+	random
r0000015	5000	1	+	NA
r0000016	5000	1	+	NA
r0000017	5000	0	-	random
r0000018	5000	1	+	NA
r0000019	5000	1	+	NA
r0000020	5000	1	+	NA
r0000021	5000	1	+	NA
r0000022	5000	1	+	NA
r0000023	5000	1	+	NA
r0000024	5000	1	+	NA
r0000025	5000	1	-	NA
r0000026	5000	1	+	NA
r0000027	5000	1	+	NA
r0000028	5000	0	-	random
r0000029	5000	1	+	NA
r0000030	5000	1	-	NA
r0000031	5000	0	-	random
r0000032	5000	0	-	random
r0000033	5000	0	-	random
r0000034	5000	0	+	random
r0000035	5000	0	+	random
r0000036	5000	1	-	NA
r0000037	5000	0	-	random
r0000038	5000	0	-	random
r0000039	5000	1	-	NA
r0000040	5000	1	-	NA
r0000041	5000	1	-	NA
r0000042	5000	0	+	random
r0000043	5000	1	+	NA
r0000044	5000	1	+	NA
r0000045	5000	1	-	NA
r0000046	5000	1	+	NA
r0000047	5000	0	+	random
r0000048	5000	1	+	NA
r0000049	5000	1	-	NA
r0000050	5000	0	+	random
r0000051	5000	1	+	NA
r0000052	5000	1	+	NA
r0000053	5000	1	-	NA
r0000054	5000	1	+	NA
r0000055	5000	1	-	NA
r0000056	5000	1	-	NA
r0000057	5000	1	+	NA
r0000058	5000	0	+	random
r0000059	5000	1	+	NA
r0000060	5000	1	-	NA
r0000061	5000	1	+	NA
r0000062	5000	0	+	random
r0000063	5000	1	-	NA
r0000064	5000	1	-	NA
r0000065	5000	1	-	NA
r0000066	5000	1	-	NA
r0000067	5000	1	+	NA
r0000068	5000	1	+	NA
r0000069	5000	1	+	NA
r0000070	5000	0	-	random
r0000071	5000	1	-	NA
r0000072	5000	1	-	NA
r0000073	5000	1	+	NA
r0000074	5000	0	-	random
r0000075	5000	1	+	NA
r0000076	5000	0	+	random
r0000077	5000	1	-	NA
r0000078	5000	0	-	random
r0000079	5000	1	-	NA
r0000080	5000	1	-	NA
r0000081	5000	1	-	NA
r0000082	5000	1	-	NA
r0000083	5000	1	-	NA
r0000084	5000	1	+	NA
r0000085	5000	1	+	NA
r0000086	5000	1	-	NA
r0000087	5000	1	+	NA
r0000088	5000	1	+	NA
r0000089	5000	1	+	NA
r0000090	5000	0	+	random
r0000091	5000	0	+	random
r0000092	5000	1	-	NA
r0000093	5000	0	-	random
r0000094	5000	0	+	random
r0000095	5000	1	-	NA
r0000096	5000	1	+	NA
r0000097	5000	1	+	NA
r0000098	5000	1	-	NA
r0000099	5000	1	+	NA
r0000100	5000	0	+	random
